"4","#公告#【世纪天鸿年报拟10转5派1元】世纪天鸿2017年实现归属于上市公司股东的净利润31,364,774.98元，同比增长0.15%；基本每股收益0.41元/股。","['300654']"
"5","#公告#【二三四五年报拟10转3派0.3元】二三四五2017年实现归属于上市公司股东的净利润947,545,405.46元，同比增长49.23%；基本每股收益0.29元/股。","['002195']"
"6","#公告#【京泉华年报拟10转5派0.75元】京泉华2017年实现归属于上市公司股东的净利润58,235,404.40元，同比下降2.98%；基本每股收益0.83元/股。","['002885']"
"7","#公告#【创源文化年报拟10转5派3.5元】创源文化2017年实现归属于上市公司股东的净利润60,526,037.28元，同比下降19.92%；基本每股收益0.93元/股。","['300703']"
"8","#公告#【华峰超纤年报拟10转8派0.5元】华峰超纤2017年实现归属于上市公司股东的净利润249,291,729.69元，同比增长147.93%；基本每股收益0.45元/股。","['300180']"
"9","#公告#【吉翔股份年报净利增逾6倍】吉翔股份披露年报。2017年，公司实现营业收入219,890.97万元，较去年同期的137,342.30万元，同比上升60.10%，实现归属于母公司净利润21,965.09万元，较去年同期的2,937.43万元，同比上升647.76%。","['603399']"
"10","#公告#【爱尔眼科年报拟10转5派3元】爱尔眼科2017年实现归属于上市公司股东的净利润742,514,537.35元，同比增长33.31%；基本每股收益0.4950元/股。","['300015']"
"11","$中国人寿(SH601628)$ ：预计2018年一季度净利润增加约67.64亿元到79.94亿元，同比增长110%到130%。","['601628']"
"13","$中牧股份(SH600195)$ 年报：实现营收40.7亿元，同比增长2.41%；净利近4亿元，同比增长19.57%；拟10转4派3.26元。","['600195']"
"17","$合盛硅业(SH603260)$ 年报：实现营收69.5亿元，同比增长51.9%；净利15.17亿元，同比增长132.81%；拟10派4.41元。","['603260']"
"18","$国祯环保(SZ300388)$ 年报：拟10转8派1.5元；实现营收26.28亿元，同比增长79.67%；净利1.94亿元，同比增长49.57%。","['300388']"
"19","$太钢不锈(SZ000825)$ 第一季度净利润14.6亿元人民币。","['000825']"
"21","$御银股份(SZ002177)$ 19日在互动平台表示，目前建行的无人银行里有公司的产品。","['002177']"
"22","$澳柯玛(SH600336)$ ：公司的无人零售冷柜已实现批量生产并交付订单。（上证e互动）","['600336']"
"24","$罗顿发展(SH600209)$ 年报：2017年实现营业收入1.5亿元，同比下降2.12%；亏损4560.8万元，上年同期亏损4594万元。","['600209']"
"26","$金逸影视(SZ002905)$ 一季报：实现营业收入5.89亿元，同比增长13.14%；实现净利润5627.7万元，同比增长153.35%。","['002905']"
"27","$银江股份(SZ300020)$ ：公司与阿里云签署了框架合作协议，将在智慧交通及城市大脑领域拓展至基于阿里云计算平台、云产品及业务的多方面密切合作。目前，该项目已在杭州完成了一期试点工作。（深交所互动易）","['300020']"
"31","*ST三维：因公司涉嫌信息披露违法违规，中国证监会决定对公司进行立案调查。","['000755']"
"32","*ST众和：兴业矿业拟提供不超6亿元财务资助，23日起复牌","['000426', '002070']"
"33","*ST厦工(600815)4月22日晚公告，公司董事长许振明由于达到退休年龄，申请辞职。公司于4月21日召开董事会议，同意选举张振斌为董事长（法定代表人），选举王功尤为公司副董事长。此外，王功尤因工作变动，申请辞去公司总裁职务，公司董事会同意聘任陈天生为总裁，聘任郭松为公司常务副总裁。","['600815']"
"64","4月17日，贤丰控股高管屈勇买入公司股票5000股，成交均价为6.28元，或涉嫌窗口期违规交易。","['002141']"
"65","4月18日，亚太药业证券事务代表朱凤增持公司股票400股，成交均价为18.85元，或涉嫌窗口期违规交易。","['002370']"
"69","4月19日，中国裁判文书网公布了山东省淄博市张店区前财政局局长王海波受贿案的刑事判决书，王海波受贿共计69.2万元，两家上市公司未名医药与联创互联董事长均曾对其送贿，最终王海波被判3年9个月，罚没94.2万元。","['300343', '002581']"
"70","4月19日，广电运通监事邝建洲配偶陈文婷卖出5000股公司股票，成交均价为7.95元，或涉嫌窗口期违规交易。","['002152']"
"72","4月20日，国民技术：年报亏损4.88亿，一季报净利1470万。","['300077']"
"75","4月22日，卓翼科技(002369)在互动平台表示，目前公司与中兴已无实际业务往来，（中兴事件）对公司未造成实际影响。公司与美国方面的业务及产品，尚不在加征关税产品名单内，且业务量比较小，对公司影响甚微。","['002369']"
"108","IBM大中华区董事长陈黎明：美国对中兴通讯公司的禁令只是个别案例"",""创新对于中国企业海外扩张而言是关键因素","['000063']"
"109","IBM大中华区董事长：中兴通讯的美国禁令是个案","['000063']"
"145","IMF总裁拉加德在被问及对解决中美贸易摩擦的建议时表示：希望中美两国尽可能多地开展以自由贸易为基础的对话，同时可借助以规则为基础的多边机构发挥作用。（新华网）","['603888']"
"222","【 <a target=""_blank"" href=""http://weibo.com/n/%E4%B8%AD%E5%85%B4%E9%80%9A%E8%AE%AF"">@中兴通讯</a>  举行新闻发布会，回应美国商务部出口禁令】日前，美国商务部宣布，对中兴通讯公司执行为期七年的出口禁令。4月20日14点30分，中兴通讯就此事在其深圳总部举行新闻发布会，回应美方的出口禁令。  <a title=""http://t.cn/RmkmzPA"" href=""http://t.cn/RmkmzPA"" target=""_blank"">http://t.cn/RmkmzPA</a>  ​","['000063']"
"223","【$三聚环保(SZ300072)$ ：2017年净利同比增57% 王亚伟继续坚守】三聚环保4月19日晚间披露年报，公司2017年实现营业收入224.78亿元，同比增长28.22%；净利润25.39亿元，同比增长57.02%；每股收益1.43元。公司拟每10股转增3股并派1元。截至去年四季度末，王亚伟旗下两产品的持股较去年三季度末没有发生变化。","['300072']"
"226","【$光迅科技(SZ002281)$ ：中兴通讯是公司的客户之一 会密切关注事态进展】光迅科技19日在互动平台表示，中兴通讯是公司的客户之一，美国对其制裁对公司产生的影响待结果正式出来后才能全面评估，现在不便发表意见。但公司会密切关注事态进展，并采取积极的应对措施。","['002281', '000063']"
"227","【$千方科技(SZ002373)$ ：宇视科技芯片采购正常 未受中兴通讯事件影响】千方科技在互动平台澄清称，宇视科技目前芯片采购、经营一切正常，未受中兴通讯限售事件的影响。2017年11月，千方科技披露了拟作价45亿元收购宇视科技母公司交智科技的方案。","['002373', '000063']"
"228","【$君正集团(SH601216)$ 年报净利增36% 证金公司增持至4.9%】君正集团披露年报。2017年，公司实现营业收入773,894.12万元，较上年增长35.44%，归属于上市公司股东的净利润214,808.60万元，较上年增长35.62%。年报拟10派0.30元。前十大股东榜中，证金公司持股占比由上年三季末的3.65%，去年四季末增持至4.9%。","['601216']"
"229","【$坚瑞沃能(SZ300116)$ ：董事会就业绩快报修正致歉 请投资者谅解】坚瑞沃能董事会就本次2017年度业绩快报修正事宜向广大投资者致以诚挚的歉意，公司将在日后工作中进一步加强管理，严格按照《公司法》、《证券法》等法律法规的要求，规范运作，进一步提高信息披露质量，避免类似情况再次发生，敬请广大投资者谅解。","['300116']"
"231","【$广深铁路(SH601333)$ ：土地收储 预计增利5.05亿元】广深铁路4月19日晚间公告，公司与广州市土地开发中心等签署《国有土地使用权收储补偿协议》。公司将因交储面积为37116.63平方米的广州东石牌旧货场土地使用权，获得一次性补偿款13.05亿元。此次交易预计增加公司净利润超过5.05亿元，即超过公司2017年度净利润的50%以上。","['601333']"
"232","【$康德莱(SH603987)$ ：去年净利增长18% 拟10转4派1.5元】康德莱4月19日晚间披露年报，2017年实现营收12.56亿元，同比增长10.98%；净利1.19亿元，同比增长18.12%；每股收益0.38元。公司拟每10股转增4股派现1.5元（含税）。康德莱主要从事医用穿刺器械的研发、生产和销售。","['603987']"
"233","【$新华制药(SZ000756)$ ：布洛芬薄膜衣片发运欧洲】记者从新华制药获悉，近日，新华制药同德国第三大药企Stada公司合作完成的布洛芬薄膜衣片顺利实现商业发货，即将登陆欧陆市场。据统计，此次商业发货涉及荷兰客户需要的两个规格、六个批次，共约一千万片，标志着公司突破了对欧盟的制剂出口仅依赖于英国市场的单一局面，打开了更加广阔的欧洲大陆市场。（证券时报·e公司）","['000756']"
"234","【$汉商集团(SH600774)$ ：去年净利润增四成 拟10送3派0.3元】汉商集团4月19日晚间披露年报，2017年实现营收10.12亿元，同比增长6.66%；净利1646.67万元，同比增长41.42%；每股收益0.09元。公司拟每10股送3股派现0.3元（含税）。","['600774']"
"235","【$瑞特股份(SZ300600)$ 年报拟10送6派2.5元】瑞特股份2017年实现归属于上市公司股东的净利润107,774,786.09元，同比增长5.97%；基本每股收益1.10元/股。","['300600']"
"236","【$田中精机(SZ300461)$ ：2017年净利增近6成 拟10转3送5派0.65元】田中精机4月20日晚间披露年报，公司2017年实现营业收入5.04亿元，同比增长137.07%；净利润2122.40万元，同比增长58.81%；每股收益0.32元。公司拟每10转3股送5股并派现0.65元。","['300461']"
"237","【$禾望电气(SH603063)$ ：拟4.08亿元收购孚尧能源51%股权】禾望电气4月20日晚间公告，公司拟4.08亿元收购孚尧能源科技（上海）有限公司51%的股权。孚尧能源及其子公司主要从事光伏电站、风力发电场的开发建设、技术咨询和服务等业务。","['603063']"
"238","【$立讯精密(SZ002475)$ ：2017年净利同比增46% 拟10转3派0.6元】立讯精密4月19日晚间披露年报，公司2017年实现营业收入228.26亿元，同比增长65.86%；净利润16.91亿元，同比增长46.18%；每股收益0.53元。公司拟每10股转增3股并派现0.6元。","['002475']"
"239","【$金盾股份(SZ300411)$ 董事长：6家国资企业有意接手周建灿父子股份】4月20日，金盾股份董事长王淼根对e公司表示，目前，有6家意向企业愿意接盘周建灿父子的股份，这6家企业全部是国企或者央企。其中，3家已经进行了尽职调查，有1家企业意向非常大，前后接触了十几次。 （证券时报·e公司）","['300411']"
"241","【$鼎信通讯(SH603421)$ ：公司研发的载波类芯片领先国际，无所谓替代进口】鼎信通讯在互动平台表示，公司研发的芯片主要包括三大类：载波芯片、总线通讯类、电能表芯片组，载波类芯片本身是国内领先国际，无所谓替代进口；总线通讯芯片用于消防报警系统；电能表芯片组主要是提升设计成本竞争力和自动化制造，个别芯片替代进口。","['603421']"
"243","【*ST三维隐瞒行政处罚信息被证监会立案】经央视曝光的*ST三维(000755)环保违规问题不仅引发了环保部门与当地政府的高度重视，也引发了证监系统的快速跟进。4月19日晚间，证监会宣布对*ST三维立案调查，几乎同一时间，深交所相关负责人也在接受记者采访时透露，*ST三维存在环保信披违规行为。（金陵晚报）","['000755']"
"244","【*ST三维：公司已全面停产，进行环保核查】*ST三维公告，近日央视报道了公司的环保问题。公司已组织相关专业部门和人员认真排查核实。政府相关部门已启动相应程序，山西省环保厅、山西证监局等部门已到公司开展现场核查工作。4月18日，公司已安排各分厂、各车间在保证安全的前提下全面停产，进行环保核查。公司同时公告，公司涉嫌信息披露违法违规，证监会决定对公司进行立案调查。","['000755']"
"246","【*ST众和接受兴业矿业财务资助】*ST众和4月22日晚公告称，鉴于公司面临的债务危机与退市风险，公司拟引入内蒙古兴业矿业股份有限公司作为战略投资人参与和推动公司的重整，公司拟接受兴业矿业在2018年度向公司及相关下属公司提供合计最高额不超过6亿元的财务资助。（中国证券报）","['000426', '002070']"
"247","【*ST众和：兴业矿业拟提供不超6亿元财务资助，23日起复牌】*ST众和公告称，鉴于公司面临的债务危机与退市风险，公司拟引入兴业矿业作为战略投资人参与和推动公司的重整，兴业矿业拟通过重整成为公司的控股股东，兴业矿业同意在2018年度向公司及相关下属公司提供不超过6亿元的财务资助。公司股票4月23日复牌。","['000426', '002070']"
"248","【*ST厦工：许振明辞职 选举张振斌为董事长】*ST厦工(600815)4月22日晚公告，公司董事长许振明由于达到退休年龄，申请辞职。公司于4月21日召开董事会议，同意选举张振斌为董事长(法定代表人)，选举王功尤为公司副董事长。","['600815']"
"249","【*ST爱富：去年业绩扭亏，申请撤销退市风险警示】*ST爱富披露年报，2017年实现营收52.43亿元，同比增长10.69%；净利4780.72万元，同比扭亏为盈；每股收益0.11元。公司涉及退市风险警示的情形已消除，将申请撤销退市风险警示。同时披露的一季报显示，公司一季度实现净利6637.21万元，同比增长74%。","['600636']"
"257","【2017年中国纪录电影迎来市场拐点 点映平台助推长线放映】北京师范大学纪录片研究中心18日在京发布的报告显示，中国纪录电影发展正在提速，2017年迎来市场拐点：全年获得公映许可证的纪录电影同比增长51.7%；16部影片共收获2.69亿元票房，其中10部国产片票房2.63亿，同比增长237%，不仅创造了单片票房1.7亿的最高纪录，且3部纪录片单片票房超过3000万，成为历史性的突破。（新华网）","['603888']"
"259","【2017年亏损近51亿元 湖北宜化将被“*ST”】湖北宜化(000422)4月20日晚间发布公告称，公司在2017年实现归属净利润亏损近51亿元， 因2016年度、2017年度连续两个会计年度经审计的净利润为负值，公司股票自4月24日起被实行“退市风险警示”处理，股票简称由“湖北宜化”变更为“*ST宜化”。另外，公司股票自4月23日停牌一天，并于4月24日开市起复牌。","['000422']"
"260","【2018中国加工贸易产品博览会闭幕 “两自”产品基本实现全覆盖】2018中国加工贸易产品博览会组委会秘书处秘书长吴军介绍，本届博览会汇聚了全国24个省区市及港台地区的698家企业，展示的数万种商品中不乏科技含量较高的产品。拥有自主品牌和自主技术的“两自”产品已经基本实现全覆盖，参展企业基本都拥有自己的品牌或技术。（新华网）","['603888']"
"262","【2018年城市共创大会开幕 王石致敬改革开放40年】由深圳万科发起的2018城市共创大会于4月22日在深拉开帷幕。万科创始人、董事会名誉主席王石连同政商各界22位嘉宾齐聚会议，共话城市多样性、友好型城市、未来教育、消费升级与新零售、产业升级与产城融合五大城市议题，共话城市之美好。大会中，万科创始人王石做了致敬改革开放40周年特别献词。","['000002']"
"273","【260.825亿！北影节签约额再破纪录】第八届北京国际电影节电影市场昨天举行签约仪式，共有79家企业的38个重点项目达成签约合作，总金额达到260.825亿元，同比增长约49%，再次突破纪录。其中，由中影股份主导的“杭州中国电影城项目合作意向”确定了42.6亿元的一期投资，杭州中国电影城将打造一个世界级的中国国际电影文化交流胜地。中影股份有7个项目在此次签约仪式上进行签约，签约总额高达50亿。（北京晚报）","['600977']"
"274","【28年前10万元一辆 曾称霸中国道路的夏利宣布停产！】1986年9月，以“全散装件方式引进生产的第一辆夏利下线。1990年，第一辆三厢夏利下线，售价10万元，成为极少数消费者才能拥有的”奢侈品，大家都为能买到夏利而自豪。今年，夏利品牌宣布暂时性停产。暂时性停产的背后是天津一汽夏利汽车股份有限公司窘迫的经营现状。（每日经济新闻）","['000927']"
"278","【35家上市公司集体回应中兴事件：5家或受影响】日前，美国商务部宣布，对中兴通讯公司执行为期七年的出口禁令。多家上市公司在互动平台上回应相关影响，金融界网站整理后发现，有5家公司称中兴是客户，4家公司称将坚持自主创新，26家上市公司称没有影响或影响小。还有董秘戏称，做一个人品过关的董秘感觉蛮难的。","['000063']"
"290","【42家药企销售费用占营收比超30% 13家上市药企广告费超研发费用】近日鸿茅药酒天价广告费投入引起关注。在生物医药行业，销售费用、尤其是广告费的支出一直是市场关注的焦点。据数据，截至4月19日，按照生物医药行业分类，70家上市公司公布了2017年广告费的投入。13家上市药企的广告费超亿元，其中上海医药、人福医药广告费过十亿元。值得一提的是，在国家倡导创新的背景下，部分企业的广告费用远远高于研发费用投入。（证券日报）","['601607', '600079']"
"291","【4600亿元银行授信助力北京城市副中心建设】4月18日，北京城市副中心投资建设集团分别与国家开发银行、中国工商银行、中国农业银行签订合作协议，授信总额高达4600亿元，此举将为城市副中心及通州区投资建设提供必要的资金保障，加快与雄安新区形成“一核两翼”的发展新格局。(人民日报)","['601288', '601398']"
"292","【4月19日COMEX金银及NYMEX铂钯库存最新一览】东方财富网21日讯，4月19日COMEX金银及NYMEX铂钯库存最新一览；① 芝加哥商业交易所(CME)4月20日公布报告显示，截至4月19日COMEX黄金库存约904.9885万盎司，较上日减少257.2盎司；② COMEX白银库存约26169.8616万盎司，较上日减少2.8788万盎司；③ NYMEX铂金库存约18.5577万盎司，较上日持平；④ NYMEX钯金库存约4.1314万盎司，较上日持平。","['300059']"
"295","【4月20日IMM外汇持仓最新一览】东方财富网21日讯，4月20日IMM外汇持仓最新一览：① 截至4月20日交易日，欧元成交量为231417手，较前一交易日增加17415手；未平仓合约497721手，较前一交易日减少3031手；② 英镑成交量为133018手，较前一交易日减少19585手；未平仓合约194235手，较前一交易日减少3836手；③ 日元成交量为115591手，较前一交易日增加7324手；未平仓合约148979手，较前一交易日增加2527手；④ 截至4月20日交易日，加元成交量为78389手，较前一交易日增加1344手；未平仓合约122055手，较前一交易日减少1787手；⑤ 澳元成交量为103927手，较前一交易日减少13130手；未平仓合约98129手，较前一交易日增加1004手；⑥ 瑞郎成交量为24676手，较前一交易日减少4488手；未平仓合约61077手，较前一交易日增加2410手。","['300059']"
"296","【4月20日午间公告 | 康弘药业眼用注射液通过FDA评审】1、康弘药业：子公司通过美国FDA康柏西普玻璃体腔眼用注射液在美国开展临床试验特别方案评审。2、斯 莱 克：子公司收购美国OKL公司获得法院批准，交易将于短期内结束，有助于开拓全球市场。3、冀东水泥：重组事项近日上会，今日起股票停牌。4、同益股份：持股5.89%股东华青春质押股份218万股，占公司总股本的3.86%，被质押股份不存在平仓风险。5、五洋停车：持股6.69%股东孙晋明质押股份2734万股，占公司总股本的5.35%。","['000401', '002773', '300538', '300420']"
"302","【4月20日黄金ETF持仓量】东方财富网21日讯，4月20日黄金ETF持仓量：SPDR黄金持仓量持平。4月21日黄金ETFs数据显示，截止4月20日黄金ETF-SPDR Gold Trust的黄金持仓量865.89吨，较上一交易日持平。4月20日ishares黄金持仓增加0.51吨/白银持仓减少35.15吨；Gold Trust 4月21日数据显示，截至4月20日Gold Trust黄金持有量286.94吨，较上一交易日增加0.51吨；白银持有量9850.82吨，较上一交易日减少35.15吨。","['300059']"
